Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
SberMegaMarket;HIPER;для работы и учебы;60900;0;0;Windows;8;AMD;Ryzen 7;5800U;nan;AMD;Radeon Graphics;nan;nan;256;8;DDR4;1;nan;5;nan
SberMegaMarket;HIPER;для работы и учебы;55600;0;0;Без ОС;6;AMD;Ryzen 5;5600U;nan;AMD;Radeon Graphics;nan;nan;256;8;DDR4;1;nan;5;nan
SberMegaMarket;HIPER;для работы и учебы;34634;0;0;Windows;2;Intel;Core i3;10110U;nan;Intel;UHD Graphics;nan;nan;256;8;DDR4;1;nan;5;nan
SberMegaMarket;HP;для работы и учебы;76490;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;UHD Graphics;nan;nan;512;8;DDR4;1;nan;5;nan
SberMegaMarket;HP;для работы и учебы;95840;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;UHD Graphics;14;nan;512;16;DDR4;1;nan;5;nan
SberMegaMarket;HP;для работы и учебы;58896;0;0;Без ОС;4;Intel;Core i5;1135G7;nan;Intel;UHD Graphics;nan;nan;512;8;DDR4;1;nan;5;nan
SberMegaMarket;HP;для работы и учебы;64796;0;0;Без ОС;2;Intel;Core i3;1115G4;3;Intel;UHD Graphics;14;nan;256;8;DDR4;1;nan;5;nan
SberMegaMarket;ASUS;универсальный;76330;0;0;Без ОС;6;Intel;Core i5;11400H;3;NVIDIA;GeForce RTX 3050;nan;nan;512;8;DDR4;1;nan;5;nan
SberMegaMarket;ASUS;универсальный;24194;0;0;Windows;2;Intel;Celeron;N4020;1;Intel;UHD Graphics 600;nan;nan;128;4;DDR4;1;nan;6;nan
SberMegaMarket;ASUS;универсальный;38240;0;0;Без ОС;2;Intel;Core i3;1115G4;3;Intel;UHD Graphics;nan;nan;256;8;DDR4;1;nan;5;nan
