Brand,PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
Lenovo,38 999 ₽,51 999,1 год,Китай,IdeaPad 3,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,AMD,Radeon Vega 8,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 12 часов,1.6 кг

Lenovo,17 999 ₽,24 999,1 год,Китай,IdeaPad 3 15IGL05,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 14 часов,1.7 кг

HP,17 999 ₽,24 999,1 год,Китай,240 G7,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 12 часов,1.52 кг

Irbis,nan,35 999 ₽,1 год,Китай,NBC,Windows 11 Pro,установлена,2,nan,,nan,nan,AMD,Radeon Vega 3,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,металл/ пластик,до 5 часов,1.65 кг

Irbis,18 999 ₽,21 999,1 год,Китай,NB,Windows 10 Pro,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,nan,1 шт,пластик,до 5 часов,1.570 кг

HP,49 999 ₽,54 999,1 год,Китай,HP Notebook 15,Windows 11 Домашняя S-режим,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,12 ГБ,DDR4,1 шт,пластик/ алюминий,до 9 часов,1.7 кг

HP,49 999 ₽,54 999,1 год,Китай,HP Notebook 15,Windows 11 Домашняя S-режим,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,12 ГБ,DDR4,1 шт,пластик/ алюминий,до 9 часов,1.7 кг

Digma,19 999 ₽,25 999,1 год,Китай,EVE,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"15.5""(39.3 см)","15.5""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 8 часов,1.25 кг

HUAWEI,119 999 ₽,131 999,1 год,Китай,Matebook X Pro,Windows 11,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14.2""/3120x2080 пикс.",90 Гц,1 ТБ,16 ГБ,LPDDR5,nan,магниевый сплав,до 8 часов,1.26 кг

