Brand,PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight
Irbis,nan,19 999 ₽,1 год,Китай,NB,Windows 10 Pro,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"13.5""(34.3 см)","13.5""/3000x2000пикс.",60 Гц,nan,4 ГБ,nan,1 шт,металл,до 6 часов,1.185 кг

Haier,nan,21 999 ₽,1 год,Китай,ALPHA,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14.1""(35.8 см)","14.1""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.2 кг

Apple,nan,145 999 ₽,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг

Acer,39 999 ₽,45 999,1 год,Китай,Aspire 3,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,NVIDIA,GeForce MX330 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 8 часов,1.9 кг

HP,99 999 ₽,114 999,1 год,Китай,VICTUS,Windows 11 Домашняя 64,установлена,6,5600H,AMD Ryzen 5 5600H 3.3 ГГц,Ryzen 5,3.3 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",144 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 8 ч 45 мин,2.48 кг

Acer,26 999 ₽,28 999,1 год,Китай,SF114-34,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 615,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик/ металл,до 15 часов,1.3 кг

HP,65 999 ₽,79 999,1 год,Китай,Pavilion Aero,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"13.3""(33.8 см)","13.3""/2560x1600 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,магниевый сплав,до 10 часов,0.98 кг

Lenovo,29 999 ₽,31 999,1 год,Китай,V15 G2 ITL,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг

MSI,99 999 ₽,124 999,1 год,Китай,Katana GF66,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.7 ГГц,Core i5,2.7 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 4 часов,2.25 кг

ASUS,89 999 ₽,109 999,1 год,Китай,Zenbook 14X OLED,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2880x1800 пикс.",90 Гц,512 ГБ,8 ГБ,LPDDR4X,1 шт,алюминий,до 12 часов,1.40 кг

Apple,nan,189 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 21 часа,2.15 кг

Acer,21 999 ₽,24 999,1 год,Китай,Aspire 3,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 6 часов,1.9 кг

HUAWEI,42 999 ₽,44 999,1 год,Китай,Matebook D,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,металл,до 6 часов,1.63 кг

HP,nan,53 999 ₽,1 год,Китай,HP Pavilion,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 8 ч 45 мин,1.75 кг

Acer,25 999 ₽,29 999,1 год,Китай,Aspire 3,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 6 часов,2.1 кг

HP,79 999 ₽,89 999,1 год,Китай,Victus,Windows 11 Домашняя,установлена,6,11400H,Intel Core i5 11400H 2.7 ГГц,Core i5,2.7 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,nan,пластик/ металл,до 6 ч 30 мин,2.46 кг

HP,nan,54 999 ₽,1 год,Китай,HP Pavilion,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 8 ч 45 мин,1.75 кг

Acer,45 999 ₽,54 999,1 год,Китай,Spin 1,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.5 кг

ASUS,39 999 ₽,44 999,1 год,Тайвань,nan,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг

ASUS,59 999 ₽,64 999,1 год,Китай,S533JQ-BQ042T,Windows 10 Домашняя,nan,4,nan,,nan,nan,NVIDIA,GeForce MX350,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,алюминий,nan,1.8 кг

Irbis,15 499 ₽,17 999,1 год,Китай,NB,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics,nan,"11.6""(29.4 см)","11.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,nan,0.990 кг

Lenovo,45 999 ₽,59 999,1 год,Китай,nan,Windows 10 Pro 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 9 часов,1.7 кг

ASUS,nan,89 999 ₽,1 год,Китай,TUF,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.2 ГГц,Core i5,2.2 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 6 часов,2.3 кг

ASUS,64 999 ₽,84 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(37 см)","14""/2560x1600 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,алюминий/ пластик,до 5 часов,1.4 кг

Thunderobot,89 999 ₽,99 999,1 год,Китай,GAMING,Windows 11 Домашняя 64,установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,ABS-пластик,до 7 часов,2.15 кг

MSI,94 999 ₽,104 999,1 год,Китай,Summit E16 Flip Evo,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/2560x1600 пикс.",120 Гц,1 ТБ,16 ГБ,DDR4 SO-DIMM,1 шт,алюминий,до 7 часов,2 кг

ASUS,79 999 ₽,84 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав/ пластик,до 6 часов,1.8 кг

HP,nan,99 999 ₽,1 год,Китай,ENVY x360,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"13.3""(33.8 см)","13.3""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,nan,металл,до 12 часов,1.32 кг

Apple,nan,207 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,1 ТБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг

Honor,nan,78 999 ₽,1 год,Китай,MagicBook 14 2021,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 часов,1.38 кг

Acer,57 999 ₽,79 999,3 года,Китай,TravelMate P4,Windows 10 Pro,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,металл/ пластик,до 13 ч 30 мин,1.4 кг

Lenovo,28 999 ₽,32 999,1 год,Китай,IdeaPad 3 15ITL6,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 8 часов,1.65 кг

Lenovo,79 999 ₽,89 999,1 год,Китай,IdeaPad Gaming 3 15ACH6,не установлена,не установлена,8,5800H,AMD Ryzen 7 5800H 3.2 ГГц,Ryzen 7,3.2 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",165 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,2.25 кг

HP,99 999 ₽,109 999,1 год,Китай,OMEN,Windows 10 Домашняя 64,установлена,6,5600H,AMD Ryzen 5 5600H 3.3 ГГц,Ryzen 5,3.3 ГГц,AMD,Radeon RX 6600M 8GB,8 ГБ,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 9 часов,2.36 кг

Acer,59 999 ₽,69 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,2,nan,,nan,nan,NVIDIA,GeForce MX350 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.9 кг

ASUS,69 999 ₽,79 999,1 год,Тайвань,VivoBook 15,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав/ пластик,до 6 часов,1.8 кг

Apple,nan,154 999 ₽,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,16 ГБ,nan,nan,алюминий,nan,1.24 кг

ASUS,nan,39 999 ₽,1 год,Китай,M515DA-BQ1247T,Windows 10 Домашняя,nan,2,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,nan,1.8 кг

Lenovo,79 999 ₽,92 999,1 год,Китай,IdeaPad Gaming 3 15IHU6,не установлена,nan,4,Intel Core i5-11300H,Intel Core i5 Intel Core i5-11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce RTX 3050,4 ГБ,nan,,120 Гц,512 ГБ,8 ГБ,DDR4 SO-DIMM,1 шт,пластик,nan,2.25 кг

HP,99 999 ₽,119 999,1 год,Китай,Pavilion Gaming,не установлена,не установлена,4,11300H,Intel Core i5 11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 4 часов,2.75 кг

HP,99 999 ₽,119 999,1 год,Китай,VICTUS,не установлена,не установлена,6,5600H,AMD Ryzen 5 5600H 3.3 ГГц,Ryzen 5,3.3 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",144 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 8 ч 45 мин,2.48 кг

HP,nan,54 999 ₽,1 год,Китай,Pavilion,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 10 ч 30 мин,1.41 кг

Apple,199 999 ₽,219 999,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг

Lenovo,17 999 ₽,24 999,1 год,Китай,IdeaPad 3 14IGL05,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 14 часов,1.5 кг

ASUS,49 999 ₽,59 999,1 год,Китай,Vivobook 15,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 7 часов,1.8 кг

HUAWEI,nan,69 999 ₽,1 год,Китай,MateBook 14,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/2160x1440 пикс.",nan,512 ГБ,16 ГБ,DDR4,nan,металл,до 7 часов,1.49 кг

Lenovo,31 999 ₽,34 999,1 год,Китай,IdeaPad 3 14ITL05,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.5 кг

HP,52 999 ₽,60 899,1 год,Китай,Laptop 15,не установлена,не установлена,4,nan,,nan,nan,NVIDIA,GeForce MX450 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.75 кг

Lenovo,39 999 ₽,44 999,1 год,Китай,IdeaPad 3 15,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг

Haier,nan,29 999 ₽,1 год,Китай,nan,DOS,не установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,1.65 кг

Irbis,17 999 ₽,19 999,1 год,Китай,NB,Windows 10 Pro,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"13.5""(34.3 см)","13.5""/3000x2000пикс.",60 Гц,nan,4 ГБ,nan,1 шт,металл,до 6 часов,1.185 кг

ASUS,49 999 ₽,59 999,1 год,Китай,VivoBook 14,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,AMD,Radeon Vega,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.5 кг

HP,nan,64 999 ₽,1 год,Китай,Pavilion 14,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 6 часов,2.2 кг

Thunderobot,224 999 ₽,249 999,1 год,Китай,GAMING,Windows 11 Домашняя 64,установлена,14,12900H,Intel Core i9 12900H 2.5 ГГц,Core i9,2.5 ГГц,NVIDIA,GeForce RTX 3080 Ti 16GB,16 ГБ,"16""(40.6 см)","16""/2560x1600 пикс.",165 Гц,2 ТБ,32 ГБ,DDR5,1 шт,пластик/ металл,до 5 часов,2.58 кг

Acer,54 999 ₽,59 999,1 год,Китай,Aspire 5,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 10 часов,1.8 кг

ASUS,62 999 ₽,69 999,1 год,Китай,ZenBook 13,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"13.3""(33.8 см)","13.3""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 13 часов,1.14 кг

Haier,31 999 ₽,39 999,1 год,Китай,nan,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.65 кг

ASUS,nan,26 999 ₽,1 год,Китай,nan,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.6 кг

Lenovo,29 999 ₽,34 999,1 год,Китай,IdeaPad 3 14IML05,не установлена,не установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 9 часов,1.5 кг

ASUS,44 999 ₽,49 999,1 год,Китай,VivoBook 17,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"17.3""(43.9 см)","17.3""/1600x900 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,2.1 кг

Lenovo,45 999 ₽,52 999,1 год,Китай,Lenovo V15,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 620,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.85 кг

ASUS,29 999 ₽,34 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 6 часов,1.57 кг

HUAWEI,55 999 ₽,67 999,1 год,Китай,Matebook D,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,металл,до 7 часов,1.53 кг

ASUS,129 999 ₽,149 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,8,nan,,nan,nan,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,1 шт,алюминий,до 5 часов,2 кг

HP,79 999 ₽,89 999,1 год,Китай,Victus 16,не установлена,не установлена,6,5600H,AMD Ryzen 5 5600H 3.3 ГГц,Ryzen 5,3.3 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 6 ч 30 мин,2.46 кг

ASUS,nan,119 999 ₽,2 года,Тайвань,ZenBook 14 Flip OLED,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2880x1800 пикс.",90 Гц,512 ГБ,16 ГБ,LPDDR4X,1 шт,алюминиевый сплав,до 12 часов,1.4 кг

ASUS,99 999 ₽,109 999,1 год,Китай,ZenBook 14X OLED,Windows 11 Домашняя,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/2880x1800 пикс.",90 Гц,512 ГБ,16 ГБ,LPDDR4X,1 шт,алюминий,до 7 часов,1.4 кг

Thunderobot,84 999 ₽,94 999,1 год,Китай,GAMING,не установлена,не установлена,8,12450H,Intel Core i5 12450H 3.3 ГГц,Core i5,3.3 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.5 кг

HP,119 999 ₽,139 999,1 год,Вьетнам,Victus,Windows 11 Домашняя 64,установлена,8,5800H,AMD Ryzen 7 5800H 3.2 ГГц,Ryzen 7,3.2 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"16.1""(40.9 см)","16.1""/2560x1440 пикс.",144 Гц,1 ТБ,16 ГБ,DDR4,1 шт,пластик,до 6 ч 30 мин,2.48 кг

Thunderobot,98 999 ₽,111 999,1 год,Китай,GAMING,не установлена,не установлена,8,12450H,Intel Core i5 12450H 3.3 ГГц,Core i5,3.3 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.2 кг

Haier,nan,17 899 ₽,1 год,Китай,URBAN,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,LPDDR4,1 шт,пластик,до 8 часов,1.5 кг

ASUS,109 999 ₽,129 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,11300H,Intel Core i5 11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"16""(40.6 см)","16""/2560x1600 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,алюминий,до 5 часов,1.95 кг

Lenovo,44 999 ₽,54 999,1 год,Китай,IdeaPad 3 15ITL6,не установлена,не установлена,4,nan,,nan,nan,NVIDIA,GeForce MX350 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,8 ГБ,DDR4,1 шт,пластик,до 8 часов,1.65 кг

ASUS,49 999 ₽,54 999,1 год,Тайвань,ExpertBook B1,Windows 10 Pro 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 7 часов,1.73 кг

HP,89 999 ₽,119 999,1 год,Китай,Pavilion Aero,Windows 11,установлена,8,nan,,nan,nan,AMD,Radeon,nan,"13.3""(33.8 см)","13.3""/2560x1600 пикс.",nan,1 ТБ,16 ГБ,DDR4,1 шт,магниевый сплав,до 10 часов,1 кг

HP,54 999 ₽,59 999,1 год,Китай,Laptop 15s,не установлена,не установлена,10,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 6 часов,1.69 кг

MSI,nan,69 999 ₽,1 год,Китай,nan,Windows 10 Домашняя,установлена,4,10300H,Intel Core i5 10300H 2.5 ГГц,Core i5,2.5 ГГц,NVIDIA,GeForce GTX 1650 4GB Max-Q,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.3 кг

Acer,nan,29 999 ₽,1 год,Китай,Extensa,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 7 часов,1.9 кг

HP,39 999 ₽,44 999,1 год,Китай,HP Notebook 15,не установлена,не установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,nan,8 ГБ,DDR4,1 шт,пластик,до 10 часов,1.78 кг

ASUS,nan,69 999 ₽,1 год,Китай,TUF Gaming A15,Windows 11 Домашняя 64,установлена,8,4600H,AMD Ryzen 5 4600H 3.0 ГГц,Ryzen 5,3.0 ГГц,NVIDIA,GeForce GTX 1650 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминий/ пластик,до 5 часов,2.3 кг

LYAMBDA,nan,189 999 ₽,1 год,Китай,nan,не установлена,не установлена,14,12900H,Intel Core i9 12900H 2.5 ГГц,Core i9,2.5 ГГц,NVIDIA,GeForce RTX 3070 Ti 8GB,8 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,1 ТБ,32 ГБ,DDR4,1 шт,металл,до 5 часов,2.82 кг

ASUS,26 999 ₽,29 999,1 год,Китай,nan,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 6 часов,1.5 кг

Apple,nan,269 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,1 ТБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг

HP,nan,59 999 ₽,1 год,Китай,Laptop 15,DOS,не установлена,4,nan,,nan,nan,NVIDIA,GeForce MX450 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.45 кг

ASUS,36 000 ₽,39 999,1 год,Китай,nan,Windows 10 Домашняя,установлена,2,nan,,nan,nan,NVIDIA,GeForce MX130 2ГБ,2 ГБ,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг

ASUS,84 999 ₽,109 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(37 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,LPDDR4X,1 шт,алюминий,до 5 часов,1.17 кг

