Brand,Series,PriceNow,PriceOriginal,Guarantee_year,OS,CoresNumber,Processor,ProcessorType,ProcessorModel,ProcessorFrequency_GHz,GpuManufacturer,GpuController,ScreenSize_inch,ScreenFrequency_GHz,SSDSize_GGb,RAM_GGb,RAM_type,HDMI,Material,Battery_hour,Weight_kg
Haier,GAMING,79999.0,99999,1,не установлена,6.0,Intel,Core i5,11400H,2.4,NVIDIA,GeForce RTX 3050 Ti 4GB,15.6,144,512.0,16.0,DDR4,1.0,пластик,5,2.5
ASUS,R429MA,25999.0,31999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel UHD Graphics 605,14,60,128.0,4.0,DDR4,1.0,пластик,12,1.3
ASUS,,47999.0,57999,1,Windows 11 Домашняя,4.0,,,,,Intel,Intel UHD Graphics,15.6,,512.0,8.0,DDR4,1.0,пластик,5,1.8
ASUS,,17999.0,24999,1,Windows 11 Домашняя S-режим,2.0,,,,,Intel,UHD Graphics 600,14,,,4.0,DDR4,1.0,ABS-пластик,5,1.25
Lenovo,Yoga Slim7 14ARE05,69999.0,79999,1,Windows 10 Домашняя 64,6.0,,,,,AMD,Radeon,,60,512.0,8.0,DDR4,1.0,алюминий,14,1.4
Lenovo,,34999.0,49999,1,Windows 11 Домашняя S-режим,2.0,,,,,Intel,Intel UHD Graphics,15.6,,256.0,8.0,DDR4,1.0,ABS-пластик,5.5,1.7
HP,250 G7,18999.0,24999,1,не установлена,2.0,,,,,Intel,Intel UHD Graphics 600,15.5,,,4.0,DDR4,1.0,пластик,10,1.78
Lenovo,IdeaPad 3 15ALC6,42999.0,49999,1,не установлена,6.0,,,,,AMD,Radeon Graphics,15.6,,,8.0,DDR4,1.0,пластик,9,1.65
HP,250 G8,24999.0,24999,1,не установлена,2.0,,,,,Intel,UHD Graphics 600,15.6,60,,4.0,DDR4,1.0,пластик,6.5,1.78
Acer,Swift 3,64999.0,74999,1,Windows 11 Домашняя 64,6.0,,,,,AMD,Radeon Graphics,14,,512.0,16.0,LPDDR4X,1.0,алюминий,12,1.2
Honor,MagicBook X14,49299.0,49299,1,Windows 10 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics,14,60,256.0,8.0,DDR4,1.0,алюминиевый сплав,7,1.38
Digma,EVE,15999.0,15999,1,Windows 10 Домашняя 64,2.0,,,,,Intel,Intel UHD Graphics 600,14,60,,4.0,DDR4,1.0,пластик,7,1.26
Digma,EVE,22999.0,22999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel HD Graphics 405,15.6,60,,4.0,DDR4,,пластик,7,1.54
ASUS,Vivobook S14,54999.0,59999,1,Windows 10 Домашняя 64,4.0,,,,,NVIDIA,GeForce MX350 2ГБ,14,60,512.0,8.0,DDR4,1.0,алюминиевый сплав,,1.4
HUAWEI,MateBook 14S,99999.0,119999,1,Windows 10 Домашняя 64,4.0,,,,,Intel,Intel Iris Xe Graphics,14.2,,512.0,16.0,LPDDR4X,1.0,металл,7,1.43
HP,Victus Gaming Laptop PC,64999.0,69999,1,Windows 11 Домашняя,8.0,Intel,Core i5,12450H,2.0,NVIDIA,GeForce GTX 1650 4GB,15.6,144,512.0,8.0,DDR4,1.0,ABS-пластик,8,2.29
ASUS,Zenbook 15,39999.0,39999,1,Windows 11 Домашняя,2.0,,,,,Intel,Intel UHD Graphics,15.6,,256.0,8.0,DDR4,1.0,пластик,6,1.8
HUAWEI,MateBook E,79999.0,99999,1,Windows 11 Домашняя S-режим,4.0,,,,,Intel,Intel Iris Xe Graphics,12.6,,512.0,16.0,LPDDR4X,,металл,7,0.709
ASUS,R522MA,34999.0,39999,1,Windows 11 Домашняя 64,4.0,,,,,Intel,Intel UHD Graphics 605,15.6,,256.0,8.0,DDR4,1.0,пластик,5,1.57
