Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SsdSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
Lenovo;Prestige 14 ;74699;82 999;1;Windows 11 Домашняя;12;nan;nan;Core i5;1.7;nan;Intel Iris Xe Graphics;14;60;512;8;LPDDR4x;1;алюминий;nan;1.29
HP;IdeaPad 3;nan;79 999 ?;1;не установлена;4;nan;nan;Intel Core i7-11370H;3.3;nan;Intel Iris Xe Graphics;15.6;120;512;8;DDR4;1;пластик;nan;2.25
Lenovo;HP 255 G8;nan;57 999 ?;1;не установлена;8;nan;nan;AMD Ryzen 7 5700U;1.8;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.74
HP;IdeaPad 3;nan;27 999 ?;1;не установлена;2;nan;nan;Intel Celeron N4020;1.1;nan;Intel UHD Graphics 600;15.6;60;256;4;DDR4;1;пластик;nan;1.7
Lenovo;HP 15s;nan;32 999 ?;1;Windows 10 Домашняя;2;nan;nan;Intel Pentium Gold 7505;2;nan;Intel UHD Graphics;15.6;60;256;4;DDR4;1;пластик;nan;1.69
Acer;IdeaPad 3;25199;27 999;1;не установлена;2;nan;nan;Intel Celeron N4020;1.1;nan;Intel UHD Graphics;15.6;60;нет;4;DDR4;1;пластик;nan;1.7
GIGABYTE;Extensa 15;36999;39 999;1;не установлена;2;nan;nan;AMD Ryzen 3 3250U;2.6;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.9
Acer;GIGABYTE U4 ;nan;66 999 ?;2;не установлена;4;nan;nan;Intel Core i5-1155G7;2.5;nan;Intel Iris Xe Graphics;14;60;512;16;DDR4;1;алюминий;nan;0.99
Acer;Extensa 15;nan;37 999 ?;1;Windows 10 Домашняя;2;nan;nan;AMD Athlon Silver 3050U;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.9
Realme;Extensa 15;nan;64 999 ?;1;не установлена;4;nan;nan;AMD Ryzen 5 3500U;2.1;nan;AMD Radeon Graphics;15.6;60;1000;16;DDR4;1;пластик;nan;1.9
Lenovo;Realme Book Prime 14;69999;79 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;2.5;nan;Intel Iris Xe Graphics;14;60;512;16;LPDDR4x;1;алюминий;nan;1.48
ASUS;IdeaPad 3;nan;57 999 ?;1;не установлена;4;nan;nan;Intel Core i7-1165G7;2.8;nan;Intel Iris Xe Graphics;15.6;60;512;8;DDR4;1;пластик;nan;1.7
ASUS;VivoBook Pro 14 ;62999;69 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;3.1;nan;Intel Iris Xe Graphics;14;90;512;8;DDR4;1;пластик;nan;1.4
Acer;VivoBook 15 ;76499;84 999;1;Windows 11 Домашняя;4;nan;nan;Core i7;2.8;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.8
Lenovo;Spin 1 ;nan;35 999 ?;1;Windows 10 Домашняя;2;nan;nan;Intel Celeron N4500;1.1;nan;Intel UHD Graphics;14;60;256;4;LPDDR4;1;пластик;nan;1.5
MSI;IdeaPad 3;nan;65 999 ?;1;не установлена;4;nan;nan;Intel Core i5-1135G7;2.4;nan;Intel Iris Xe Graphics;14;60;512;8;DDR4;1;алюминий;nan;1.38
Acer;Modern 15 ;45499;53 499;1;Windows 11 Домашняя;10;nan;nan;Core i5;nan;nan;Intel Iris Xe Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.7
Lenovo;Nitro 5;nan;79 999 ?;1;не установлена;4;nan;nan;Intel Core i5-11300H;3.1;nan;Intel UHD Graphics;15.6;144;512;8;DDR4;1;пластик;nan;2.3
ASUS;IdeaPad 3;nan;42 999 ?;1;Windows 11 Домашняя;2;nan;nan;Core i3;1.2;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.85
HUAWEI;VivoBook Pro 14 ;62999;69 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;3.1;nan;Intel UHD Graphics;14;90;512;8;DDR4;1;пластик;nan;1.4
HP;MateBook 14S ;89999;103 999;1;Windows 10 Домашняя;4;nan;nan;Intel Core i7-11370H;3.3;nan;Intel Iris Xe Graphics;14.2;90;1000;16;LPDDR4x;1;алюминий;nan;1.43
Acer;Laptop 15s;nan;42 999 ?;1;Windows 11 Домашняя;2;nan;nan;Ryzen 3;2.6;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.69
ASUS;Aspire 3;nan;47 999 ?;1;не установлена;4;nan;nan;Intel Core i5-1035G1;1;nan;Intel UHD Graphics;15.6;60;512;12;DDR4;1;пластик;nan;1.9
Lenovo;VivoBook Pro 14 ;67999;79 999;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;3.3;nan;AMD Radeon Graphics;14;90;512;16;DDR4;1;пластик;nan;1.45
ASUS;Lenovo V15 ;nan;29 999 ?;1;не установлена;2;nan;nan;AMD Athlon Gold 3150U;2.4;nan;AMD Radeon Graphics;15.6;60;128;4;DDR4;1;пластик;nan;1.85
MSI;ZenBook Flip S13 ;82799;91 999;1;Windows 11 Домашняя;4;nan;nan;Core i5;2.4;nan;Intel Iris Xe Graphics;13.3;60;512;8;LPDDR4x;1;алюминий;nan;1.2
Acer;Katana GF66 ;85499;94 999;1;Windows 11 Домашняя;8;nan;nan;Core i5;nan;nan;Intel UHD Graphics;15.6;nan;512;16;DDR4;1;пластик;nan;2.25
Lenovo;Extensa 15;nan;49 999 ?;1;не установлена;2;nan;nan;Intel Core i3-1005G1;1.2;nan;Intel UHD Graphics;15.6;60;512;12;DDR4;1;пластик;nan;1.9
Acer;IdeaPad 3;nan;35 999 ?;1;не установлена;2;nan;nan;AMD Ryzen 3 3250U;2.6;nan;AMD Radeon Graphics;14;60;256;8;DDR4;1;пластик;nan;1.6
Apple;Aspire 3;nan;39 999 ?;1;не установлена;2;nan;nan;AMD Ryzen 3 3250U;2.6;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.9
Lenovo;MacBook Pro;188599;204 999;1;macOS;10;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 16-core;16.2;120;512;16;LPDDR5;1;алюминий;nan;2.15
ASUS;Lenovo V15 ;nan;39 999 ?;1;не установлена;2;nan;nan;Intel Core i3-1115G4;3;nan;Intel UHD Graphics;15.6;60;нет;8;DDR4;1;пластик;nan;1.7
HP;ExpertBook P1 ;nan;74 999 ?;1;не установлена;4;nan;nan;Intel Core i7-1165G7;2.8;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.8
Lenovo;HP 255 G8;nan;74 999 ?;1;Windows 10 Pro;8;nan;nan;AMD Ryzen 7 5700U;1.8;nan;AMD Radeon Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.74
ASUS;IdeaPad 3;nan;31 999 ?;1;не установлена;2;nan;nan;AMD Athlon 300U;2.4;nan;AMD Radeon Vega 3;15.6;60;128;8;DDR4;1;пластик;nan;2.2
ASUS;Laptop 14 ;nan;34 999 ?;1;не установлена;2;nan;nan;Intel Pentium Gold 7505;2;nan;Intel UHD Graphics;14;60;256;8;DDR4;1;пластик;nan;1.6
ASUS;Laptop 15 ;33299;36 999;1;не установлена;2;nan;nan;Intel Pentium 6805;1.1;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.8
Apple;ZenBook Flip 13 ;79199;87 999;1;Windows 10 Домашняя;4;nan;nan;Intel Core i7-1165G7;2.8;nan;Intel Iris Xe Graphics;13.3;60;512;8;LPDDR4x;1;алюминий;nan;1.3
ASUS;MacBook Pro;nan;169 999 ?;1;macOS;8;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 14-core;14.2;120;512;16;LPDDR5;1;алюминий;nan;1.61
Lenovo;IdeaPad 3;53999;59 999;1;Windows 11 Домашняя;4;nan;nan;Pentium;1.1;nan;Intel UHD Graphics;13.3;60;нет;4;LPDDR4x;1;пластик;nan;0.78
Lenovo;IdeaPad 3;nan;37 999 ?;1;Windows 11 Домашняя;2;nan;nan;Pentium;2;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.7
Lenovo;Lenovo V15 ;nan;33 999 ?;1;не установлена;2;nan;nan;Intel Core i3-1115G4;3;nan;Intel UHD Graphics;15.6;60;нет;4;DDR4;1;пластик;nan;1.7
Apple;IdeaPad 3;nan;89 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;14;90;1000;16;DDR4;1;алюминий;nan;1.38
ASUS;MacBook Pro;nan;234 999;1;macOS;10;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 16-core;16.2;120;1024;16;LPDDR5;1;алюминий;nan;2.15
Lenovo;GAMING;nan;77 999 ?;1;не установлена;8;nan;nan;AMD Ryzen 7 4800H;2.9;nan;AMD Radeon Graphics;17.3;144;512;8;DDR4;1;пластик;nan;2.6
HP;Yoga Slim 7 ;nan;69 999 ?;1;Windows 11 Домашняя;6;nan;nan;Ryzen 5;2.3;nan;AMD Radeon Graphics;13.3;60;256;8;LPDDR4x;1;алюминий;nan;1.21
ASUS;HP 250 G8;nan;27 999 ?;1;не установлена;2;nan;nan;Intel Celeron N4020;1.1;nan;Intel UHD Graphics;15.6;60;нет;4;DDR4;1;пластик;nan;1.74
HP;Laptop 14 ;nan;32 999 ?;1;не установлена;2;nan;nan;Intel Pentium Gold 7505;2;nan;Intel UHD Graphics;14;60;256;4;DDR4;1;пластик;nan;1.6
Acer;HP 15s;nan;32 999 ?;1;Windows 10 Домашняя;2;nan;nan;AMD Athlon Silver 3050U;2.3;nan;AMD Radeon Graphics;15.6;60;128;4;DDR4;1;пластик;nan;1.7
Apple;Aspire 3;nan;68 999 ?;1;не установлена;4;nan;nan;AMD Ryzen 5 3500U;2.1;nan;AMD Radeon Vega 8;15.6;60;512;12;DDR4;1;пластик;nan;1.9
ASUS;MacBook Pro;202399;219 999;1;macOS;10;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 16-core;14.2;120;1024;16;LPDDR5;1;алюминий;nan;1.61
Lenovo;VivoBook 15 ;nan;64 999 ?;1;Windows 11 Домашняя;4;nan;nan;Core i5;2.4;nan;Intel Iris Xe Graphics;15.6;60;512;8;DDR4;1;пластик;nan;1.8
Acer;IdeaPad 3;nan;42 999 ?;1;Windows 10 Домашняя;2;nan;nan;Intel Core i3-1115G4;3;nan;Intel UHD Graphics;15.6;60;нет;8;DDR4;1;пластик;nan;1.7
Acer;Aspire 3;36999;40 999;1;Windows 11 Домашняя;2;nan;nan;Core i3;1.2;nan;Intel UHD Graphics;15.6;60;256;4;DDR4;1;пластик;nan;1.9
ASUS;Aspire 7;82999;89 999;1;не установлена;8;nan;nan;AMD Ryzen 7 5700U;1.8;nan;AMD Radeon Graphics;15.6;60;512;16;DDR4;1;пластик;nan;2.15
Lenovo;VivoBook PRO 15 ;74699;82 999;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-11300H;3.1;nan;Intel Iris Xe Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.65
ASUS;Lenovo V15 ;nan;27 999 ?;1;не установлена;2;nan;nan;AMD 3020e;1.2;nan;AMD Radeon Graphics;15.6;60;128;4;DDR4;1;пластик;nan;1.85
AORUS;Laptop 15 ;nan;39 999 ?;1;не установлена;2;nan;nan;AMD Ryzen 3 3250U;2.6;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.8
ASUS;AORUS 17 ;nan;159 999 ?;2;Windows 11 Домашняя;14;nan;nan;Core i7;2.3;nan;Intel Iris Xe Graphics;17.3;360;512;32;DDR5;1;карбон;nan;2.7
ASUS;VivoBook 15 ;nan;74 999 ?;1;не установлена;4;nan;nan;Intel Core i5-1135G7;2.4;nan;Intel Iris Xe Graphics;15.6;60;512;16;DDR4;1;пластик;nan;1.8
MSI;ZenBook PRO 15 ;93999;104 499;1;Windows 10 Домашняя;4;nan;nan;Intel Core i5-10300H;2.5;nan;Intel UHD Graphics;15.6;60;512;8;LPDDR4;1;алюминий;nan;2
Acer;Katana GF76 ;121499;134 999;1;не установлена;14;nan;nan;Intel Core i7-12700H;nan;nan;Intel UHD Graphics;17.3;144;1000;16;DDR5;1;пластик;nan;2.6
HP;TravelMate P2;nan;56 999 ?;1;Windows 10 Pro;6;nan;nan;AMD Ryzen 5 PRO 5650U;2.3;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.8
Acer;HP 255 G8;nan;56 299 ?;1;Windows 10 Домашняя;4;nan;nan;AMD Ryzen 3 5300U;2.6;nan;AMD Radeon Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.74
Acer;TravelMate P2;nan;85 999 ?;3;Windows 10 Pro;4;nan;nan;Intel Core i7-1165G7;2.8;nan;Intel Iris Xe Graphics;14;60;512;16;DDR4;1;пластик;nan;1.63
Apple;Extensa 15;nan;48 999 ?;1;Windows 10 Домашняя;2;nan;nan;Intel Core i3-1005G1;1.2;nan;Intel UHD Graphics;15.6;60;256;8;DDR4;1;пластик;nan;1.9
Irbis;MacBook Pro;216199;234 999;1;macOS;10;nan;nan;Apple M1 Pro;nan;nan;Apple M1 Pro 16-core;16.2;120;1024;16;LPDDR5;1;алюминий;nan;2.15
ASUS;Irbis ;nan;39 999 ?;1;nan;2;nan;nan;Intel Core i3-1005G1;1.2;nan;Intel UHD Graphics;15.6;60;128;8;LPDDR4;1;пластик;nan;1.92
